Source,Target,Weight,Type
S0001,S0002,3,Undirected
S0001,S0003,3,Undirected
S0001,S0005,4,Undirected
S0001,S0006,4,Undirected
S0001,S0007,2,Undirected
S0001,S0008,4,Undirected
S0001,S0009,3,Undirected
S0001,S0011,2,Undirected
S0001,S0014,3,Undirected
S0001,S0015,5,Undirected
S0001,S0016,4,Undirected
S0001,S0018,3,Undirected
S0001,S0020,2,Undirected
S0001,S0021,4,Undirected
S0001,S0022,4,Undirected
S0001,S0023,2,Undirected
S0001,S0024,1,Undirected
S0001,S0025,3,Undirected
S0001,S0026,3,Undirected
S0001,S0027,3,Undirected
S0001,S0028,3,Undirected
S0001,S0029,1,Undirected
S0001,S0030,3,Undirected
S0001,S0031,2,Undirected
S0001,S0032,6,Undirected
S0001,S0033,6,Undirected
S0001,S0034,3,Undirected
S0001,S0035,6,Undirected
S0001,S0036,2,Undirected
S0001,S0037,3,Undirected
S0001,S0040,6,Undirected
S0001,S0041,3,Undirected
S0001,S0042,3,Undirected
S0001,S0044,2,Undirected
S0001,S0046,4,Undirected
S0001,S0047,6,Undirected
S0001,S0048,4,Undirected
S0001,S0049,1,Undirected
S0001,S0050,1,Undirected
S0002,S0003,8,Undirected
S0002,S0004,2,Undirected
S0002,S0005,4,Undirected
S0002,S0007,5,Undirected
S0002,S0008,6,Undirected
S0002,S0009,1,Undirected
S0002,S0011,8,Undirected
S0002,S0012,4,Undirected
S0002,S0013,1,Undirected
S0002,S0014,5,Undirected
S0002,S0015,2,Undirected
S0002,S0016,6,Undirected
S0002,S0017,4,Undirected
S0002,S0018,5,Undirected
S0002,S0019,5,Undirected
S0002,S0020,7,Undirected
S0002,S0021,5,Undirected
S0002,S0022,3,Undirected
S0002,S0023,3,Undirected
S0002,S0024,6,Undirected
S0002,S0025,5,Undirected
S0002,S0026,8,Undirected
S0002,S0027,3,Undirected
S0002,S0028,5,Undirected
S0002,S0029,2,Undirected
S0002,S0030,5,Undirected
S0002,S0031,5,Undirected
S0002,S0032,8,Undirected
S0002,S0033,4,Undirected
S0002,S0034,2,Undirected
S0002,S0035,7,Undirected
S0002,S0036,4,Undirected
S0002,S0037,4,Undirected
S0002,S0038,3,Undirected
S0002,S0039,5,Undirected
S0002,S0040,6,Undirected
S0002,S0041,4,Undirected
S0002,S0042,1,Undirected
S0002,S0043,6,Undirected
S0002,S0044,6,Undirected
S0002,S0045,5,Undirected
S0002,S0046,5,Undirected
S0002,S0047,5,Undirected
S0002,S0048,6,Undirected
S0002,S0049,4,Undirected
S0002,S0050,2,Undirected
S0003,S0004,3,Undirected
S0003,S0005,7,Undirected
S0003,S0006,4,Undirected
S0003,S0007,8,Undirected
S0003,S0008,5,Undirected
S0003,S0009,5,Undirected
S0003,S0010,3,Undirected
S0003,S0011,10,Undirected
S0003,S0012,5,Undirected
S0003,S0013,6,Undirected
S0003,S0014,4,Undirected
S0003,S0015,2,Undirected
S0003,S0016,10,Undirected
S0003,S0017,3,Undirected
S0003,S0018,8,Undirected
S0003,S0019,4,Undirected
S0003,S0020,8,Undirected
S0003,S0021,5,Undirected
S0003,S0022,4,Undirected
S0003,S0023,8,Undirected
S0003,S0024,6,Undirected
S0003,S0025,2,Undirected
S0003,S0026,7,Undirected
S0003,S0027,5,Undirected
S0003,S0028,6,Undirected
S0003,S0029,6,Undirected
S0003,S0030,5,Undirected
S0003,S0031,7,Undirected
S0003,S0032,6,Undirected
S0003,S0033,6,Undirected
S0003,S0034,5,Undirected
S0003,S0035,5,Undirected
S0003,S0036,4,Undirected
S0003,S0037,5,Undirected
S0003,S0038,5,Undirected
S0003,S0039,7,Undirected
S0003,S0040,6,Undirected
S0003,S0041,2,Undirected
S0003,S0042,1,Undirected
S0003,S0043,10,Undirected
S0003,S0044,6,Undirected
S0003,S0045,4,Undirected
S0003,S0046,5,Undirected
S0003,S0047,4,Undirected
S0003,S0048,7,Undirected
S0003,S0049,3,Undirected
S0003,S0050,1,Undirected
S0004,S0005,3,Undirected
S0004,S0006,4,Undirected
S0004,S0007,4,Undirected
S0004,S0009,3,Undirected
S0004,S0010,4,Undirected
S0004,S0011,3,Undirected
S0004,S0013,4,Undirected
S0004,S0016,3,Undirected
S0004,S0017,6,Undirected
S0004,S0018,3,Undirected
S0004,S0019,1,Undirected
S0004,S0020,2,Undirected
S0004,S0021,1,Undirected
S0004,S0022,5,Undirected
S0004,S0023,3,Undirected
S0004,S0024,7,Undirected
S0004,S0025,5,Undirected
S0004,S0026,1,Undirected
S0004,S0027,3,Undirected
S0004,S0028,1,Undirected
S0004,S0029,4,Undirected
S0004,S0031,6,Undirected
S0004,S0032,1,Undirected
S0004,S0033,4,Undirected
S0004,S0034,4,Undirected
S0004,S0035,5,Undirected
S0004,S0037,4,Undirected
S0004,S0038,8,Undirected
S0004,S0039,3,Undirected
S0004,S0040,1,Undirected
S0004,S0041,4,Undirected
S0004,S0043,3,Undirected
S0004,S0044,1,Undirected
S0004,S0046,4,Undirected
S0004,S0048,6,Undirected
S0004,S0049,5,Undirected
S0004,S0050,5,Undirected
S0005,S0006,4,Undirected
S0005,S0007,5,Undirected
S0005,S0008,3,Undirected
S0005,S0009,4,Undirected
S0005,S0010,3,Undirected
S0005,S0011,9,Undirected
S0005,S0012,3,Undirected
S0005,S0013,5,Undirected
S0005,S0015,4,Undirected
S0005,S0016,9,Undirected
S0005,S0017,4,Undirected
S0005,S0018,3,Undirected
S0005,S0019,3,Undirected
S0005,S0020,4,Undirected
S0005,S0021,5,Undirected
S0005,S0022,6,Undirected
S0005,S0023,5,Undirected
S0005,S0024,3,Undirected
S0005,S0026,6,Undirected
S0005,S0027,5,Undirected
S0005,S0028,3,Undirected
S0005,S0029,5,Undirected
S0005,S0030,1,Undirected
S0005,S0031,5,Undirected
S0005,S0032,7,Undirected
S0005,S0033,7,Undirected
S0005,S0034,4,Undirected
S0005,S0035,5,Undirected
S0005,S0036,3,Undirected
S0005,S0037,9,Undirected
S0005,S0038,4,Undirected
S0005,S0039,4,Undirected
S0005,S0040,4,Undirected
S0005,S0041,5,Undirected
S0005,S0043,4,Undirected
S0005,S0044,1,Undirected
S0005,S0045,3,Undirected
S0005,S0046,4,Undirected
S0005,S0047,7,Undirected
S0005,S0048,9,Undirected
S0005,S0049,1,Undirected
S0005,S0050,1,Undirected
S0006,S0007,2,Undirected
S0006,S0008,4,Undirected
S0006,S0009,6,Undirected
S0006,S0010,4,Undirected
S0006,S0011,5,Undirected
S0006,S0012,1,Undirected
S0006,S0013,5,Undirected
S0006,S0014,4,Undirected
S0006,S0015,5,Undirected
S0006,S0016,5,Undirected
S0006,S0017,2,Undirected
