Source,Target,Weight,Type
S0001,S0002,1,Undirected
S0001,S0008,1,Undirected
S0001,S0018,1,Undirected
S0001,S0023,1,Undirected
S0001,S0024,1,Undirected
S0001,S0026,1,Undirected
S0001,S0028,1,Undirected
S0001,S0030,1,Undirected
S0001,S0036,2,Undirected
S0001,S0037,2,Undirected
S0001,S0043,2,Undirected
S0001,S0044,2,Undirected
S0001,S0048,1,Undirected
S0001,S0050,1,Undirected
S0001,S0054,1,Undirected
S0001,S0055,1,Undirected
S0001,S0058,1,Undirected
S0001,S0060,2,Undirected
S0001,S0061,1,Undirected
S0001,S0064,1,Undirected
S0001,S0067,1,Undirected
S0001,S0069,1,Undirected
S0001,S0074,1,Undirected
S0001,S0075,1,Undirected
S0001,S0079,1,Undirected
S0001,S0080,1,Undirected
S0001,S0081,1,Undirected
S0001,S0084,1,Undirected
S0001,S0088,1,Undirected
S0001,S0091,1,Undirected
S0001,S0095,2,Undirected
S0001,S0097,1,Undirected
S0001,S0100,1,Undirected
S0001,S0102,1,Undirected
S0001,S0105,1,Undirected
S0001,S0109,1,Undirected
S0001,S0110,1,Undirected
S0001,S0112,3,Undirected
S0001,S0114,1,Undirected
S0001,S0119,2,Undirected
S0001,S0122,1,Undirected
S0001,S0124,1,Undirected
S0001,S0127,1,Undirected
S0001,S0130,1,Undirected
S0001,S0136,1,Undirected
S0001,S0138,1,Undirected
S0001,S0142,1,Undirected
S0001,S0148,1,Undirected
S0001,S0151,1,Undirected
S0001,S0154,2,Undirected
S0001,S0157,1,Undirected
S0001,S0158,1,Undirected
S0001,S0159,1,Undirected
S0001,S0163,1,Undirected
S0001,S0164,1,Undirected
S0001,S0169,1,Undirected
S0001,S0171,1,Undirected
S0001,S0174,1,Undirected
S0001,S0179,1,Undirected
S0001,S0181,1,Undirected
S0001,S0182,1,Undirected
S0001,S0186,1,Undirected
S0001,S0188,1,Undirected
S0001,S0191,1,Undirected
S0001,S0197,2,Undirected
S0001,S0199,1,Undirected
S0001,S0200,2,Undirected
S0001,S0202,1,Undirected
S0001,S0206,1,Undirected
S0001,S0212,1,Undirected
S0001,S0218,1,Undirected
S0001,S0220,1,Undirected
S0001,S0222,1,Undirected
S0001,S0224,1,Undirected
S0001,S0225,1,Undirected
S0001,S0227,1,Undirected
S0001,S0229,1,Undirected
S0001,S0233,2,Undirected
S0001,S0234,2,Undirected
S0001,S0236,1,Undirected
S0001,S0237,1,Undirected
S0001,S0239,1,Undirected
S0001,S0240,3,Undirected
S0001,S0241,2,Undirected
S0001,S0244,1,Undirected
S0001,S0245,2,Undirected
S0001,S0250,2,Undirected
S0002,S0003,1,Undirected
S0002,S0004,1,Undirected
S0002,S0006,2,Undirected
S0002,S0009,1,Undirected
S0002,S0013,1,Undirected
S0002,S0014,1,Undirected
S0002,S0017,1,Undirected
S0002,S0021,1,Undirected
S0002,S0022,1,Undirected
S0002,S0023,1,Undirected
S0002,S0029,2,Undirected
S0002,S0033,2,Undirected
S0002,S0035,1,Undirected
S0002,S0036,1,Undirected
S0002,S0037,1,Undirected
S0002,S0040,1,Undirected
S0002,S0041,2,Undirected
S0002,S0043,2,Undirected
S0002,S0044,1,Undirected
S0002,S0051,1,Undirected
S0002,S0053,1,Undirected
S0002,S0054,1,Undirected
S0002,S0055,1,Undirected
S0002,S0056,1,Undirected
S0002,S0057,2,Undirected
S0002,S0058,1,Undirected
S0002,S0060,1,Undirected
S0002,S0062,1,Undirected
S0002,S0063,1,Undirected
S0002,S0065,1,Undirected
S0002,S0067,2,Undirected
S0002,S0071,2,Undirected
S0002,S0072,1,Undirected
S0002,S0075,1,Undirected
S0002,S0077,1,Undirected
S0002,S0079,2,Undirected
S0002,S0080,2,Undirected
S0002,S0083,1,Undirected
S0002,S0084,1,Undirected
S0002,S0088,1,Undirected
S0002,S0090,2,Undirected
S0002,S0093,1,Undirected
S0002,S0094,2,Undirected
S0002,S0095,1,Undirected
S0002,S0097,1,Undirected
S0002,S0098,1,Undirected
S0002,S0100,1,Undirected
S0002,S0105,1,Undirected
S0002,S0106,1,Undirected
S0002,S0107,1,Undirected
S0002,S0109,1,Undirected
S0002,S0110,1,Undirected
S0002,S0112,1,Undirected
S0002,S0113,2,Undirected
S0002,S0114,1,Undirected
S0002,S0119,1,Undirected
S0002,S0120,2,Undirected
S0002,S0121,1,Undirected
S0002,S0124,2,Undirected
S0002,S0129,1,Undirected
S0002,S0130,1,Undirected
S0002,S0132,1,Undirected
S0002,S0135,2,Undirected
S0002,S0136,1,Undirected
S0002,S0137,1,Undirected
S0002,S0138,1,Undirected
S0002,S0140,1,Undirected
S0002,S0141,1,Undirected
S0002,S0142,1,Undirected
S0002,S0144,1,Undirected
S0002,S0145,1,Undirected
S0002,S0149,1,Undirected
S0002,S0153,1,Undirected
S0002,S0154,2,Undirected
S0002,S0162,2,Undirected
S0002,S0163,1,Undirected
S0002,S0164,1,Undirected
S0002,S0166,1,Undirected
S0002,S0167,1,Undirected
S0002,S0168,1,Undirected
S0002,S0169,2,Undirected
S0002,S0170,1,Undirected
S0002,S0176,1,Undirected
S0002,S0178,1,Undirected
S0002,S0179,1,Undirected
S0002,S0181,2,Undirected
S0002,S0182,1,Undirected
S0002,S0183,2,Undirected
S0002,S0187,1,Undirected
S0002,S0188,2,Undirected
S0002,S0189,1,Undirected
S0002,S0190,1,Undirected
S0002,S0193,1,Undirected
S0002,S0197,2,Undirected
S0002,S0199,2,Undirected
S0002,S0200,1,Undirected
S0002,S0202,1,Undirected
S0002,S0203,1,Undirected
S0002,S0206,1,Undirected
S0002,S0210,1,Undirected
S0002,S0213,1,Undirected
S0002,S0214,2,Undirected
S0002,S0220,1,Undirected
S0002,S0221,2,Undirected
S0002,S0222,1,Undirected
S0002,S0224,2,Undirected
S0002,S0226,1,Undirected
S0002,S0227,1,Undirected
S0002,S0230,1,Undirected
S0002,S0233,2,Undirected
S0002,S0236,1,Undirected
S0002,S0237,1,Undirected
S0002,S0240,1,Undirected
S0002,S0241,2,Undirected
S0002,S0243,2,Undirected
S0002,S0245,1,Undirected
S0002,S0249,1,Undirected
S0002,S0250,2,Undirected
S0003,S0004,2,Undirected
S0003,S0005,2,Undirected
S0003,S0006,2,Undirected
S0003,S0009,1,Undirected
S0003,S0013,1,Undirected
S0003,S0015,1,Undirected
S0003,S0017,1,Undirected
S0003,S0018,1,Undirected
S0003,S0020,1,Undirected
S0003,S0022,3,Undirected
S0003,S0023,2,Undirected
S0003,S0028,1,Undirected
S0003,S0029,3,Undirected
