studentId,resourceId,timestamp,rating,comment
S0001,R0035,2023-09-08T01:48:47.411808,3,Neither good nor bad.
S0001,R0034,2023-09-14T11:19:36.190789,3,Helped a little.
S0001,R0055,2023-09-24T05:47:09.437275,3,Covered the basics.
S0001,R0096,2023-09-18T18:24:21.659912,4,Loved this resource.
S0001,R0064,2023-09-22T13:35:03.075875,4,"Really helpful, thanks."
S0001,R0046,2023-09-23T05:00:22.767375,3,Decent overview.
S0001,R0040,2023-09-21T16:37:38.007758,3,It was okay.
S0001,R0118,2023-09-05T00:18:30.048535,3,It was okay.
S0001,R0029,2023-09-13T00:44:52.999963,4,Excellent explanation!
S0001,R0085,2023-09-12T07:04:33.101818,3,Neither good nor bad.
S0001,R0021,2023-09-12T00:44:42.706081,3,Helped a little.
S0001,R0017,2023-09-16T14:36:05.454204,3,Neither good nor bad.
S0001,R0093,2023-09-13T15:20:30.621582,4,Very clear.
S0001,R0053,2023-09-22T00:01:48.859783,3,Neither good nor bad.
S0001,R0073,2023-09-18T03:57:26.538613,4,Loved this resource.
S0002,R0035,2023-09-07T03:18:56.008120,4,Very clear.
S0002,R0088,2023-09-14T15:20:00.808815,5,Excellent explanation!
S0002,R0094,2023-09-22T20:56:46.716092,4,Excellent explanation!
S0002,R0116,2023-09-20T09:56:36.081080,3,Neither good nor bad.
S0002,R0019,2023-09-28T22:45:33.774820,5,Well presented.
S0002,R0070,2023-09-17T16:45:16.282710,4,Very clear.
S0002,R0148,2023-09-21T00:40:03.480562,4,Well presented.
S0002,R0144,2023-09-23T16:42:51.123842,4,Well presented.
S0002,R0036,2023-09-24T20:20:32.348366,4,Loved this resource.
S0002,R0045,2023-09-08T19:58:38.452388,5,Perfect for my mixed style.
S0002,R0057,2023-09-08T18:48:11.860136,3,Helped a little.
S0002,R0114,2023-09-17T12:36:55.269706,3,Neither good nor bad.
S0002,R0102,2023-09-24T03:17:28.753268,4,Very clear.
S0002,R0068,2023-09-21T21:10:19.078379,4,"Really helpful, thanks."
S0002,R0122,2023-09-09T12:47:16.672557,5,Excellent explanation!
S0003,R0021,2023-09-29T21:39:19.796097,4,Loved this resource.
S0003,R0149,2023-09-10T03:37:16.928501,3,Covered the basics.
S0003,R0120,2023-09-16T05:08:50.139239,4,Great content on a topic I enjoy!
S0003,R0102,2023-09-16T11:45:28.879669,4,Great content on a topic I enjoy!
S0003,R0050,2023-09-03T23:24:03.607791,4,Loved this resource.
S0003,R0136,2023-09-28T06:58:48.948062,4,Very clear.
S0003,R0036,2023-09-05T07:50:29.467657,5,"Really helpful, thanks."
S0003,R0132,2023-09-18T06:54:15.423859,4,Well presented.
S0003,R0081,2023-09-09T20:32:40.740167,4,Loved this resource.
S0003,R0010,2023-09-20T03:39:28.740548,4,Very clear.
S0003,R0128,2023-09-14T15:03:32.707402,3,Helped a little.
S0004,R0057,2023-09-03T01:32:28.007041,4,Loved this resource.
S0004,R0118,2023-09-24T07:31:06.072513,4,Perfect for my mixed style.
S0004,R0065,2023-09-27T08:15:15.717125,2,A bit confusing.
S0004,R0074,2023-09-22T17:16:28.468418,3,Helped a little.
S0004,R0083,2023-09-21T07:00:52.721075,3,Decent overview.
S0005,R0145,2023-09-18T12:11:04.898754,3,Decent overview.
S0005,R0001,2023-09-20T11:54:28.737630,5,Great content on a topic I enjoy!
S0005,R0070,2023-09-29T21:52:26.581991,5,"Really helpful, thanks."
S0005,R0067,2023-09-25T20:58:56.041330,4,Excellent explanation!
S0005,R0144,2023-09-14T04:33:31.796592,5,Excellent explanation!
S0005,R0129,2023-09-20T01:43:53.864372,5,Excellent explanation!
S0005,R0035,2023-09-13T19:39:37.818658,4,Great content on a topic I enjoy!
S0005,R0063,2023-09-04T12:30:45.194473,4,Loved this resource.
S0005,R0071,2023-09-03T16:52:24.974731,4,Loved this resource.
S0006,R0070,2023-09-15T18:10:29.720958,3,Decent overview.
S0006,R0066,2023-09-14T05:55:24.186078,4,"Really helpful, thanks."
S0006,R0148,2023-09-26T01:21:45.886904,3,Covered the basics.
S0006,R0139,2023-09-24T19:06:08.760014,3,Decent overview.
S0006,R0008,2023-09-15T04:47:22.852581,4,Perfect for my reading/writing style.
S0006,R0117,2023-09-23T02:57:33.781045,3,Helped a little.
S0007,R0057,2023-09-17T13:58:16.171757,4,"Really helpful, thanks."
S0007,R0106,2023-09-12T04:42:38.922241,3,Neither good nor bad.
S0007,R0149,2023-09-10T15:04:05.930170,4,Well presented.
S0007,R0136,2023-09-21T22:49:15.254361,3,It was okay.
S0007,R0098,2023-09-23T15:56:29.769814,3,Neither good nor bad.
S0007,R0083,2023-09-25T16:49:43.116514,3,It was okay.
S0007,R0081,2023-09-26T07:10:42.888394,4,Loved this resource.
S0007,R0128,2023-09-29T22:12:30.392559,3,Decent overview.
S0007,R0125,2023-09-26T07:18:54.525220,4,Perfect for my mixed style.
S0007,R0058,2023-09-10T09:45:53.165087,4,Excellent explanation!
S0007,R0144,2023-09-16T09:41:30.326754,3,Covered the basics.
S0008,R0141,2023-09-18T23:19:06.299407,3,Neither good nor bad.
S0008,R0125,2023-09-01T06:32:26.204253,4,Perfect for my mixed style.
S0008,R0007,2023-09-29T15:24:20.087539,3,Decent overview.
S0008,R0059,2023-09-25T17:55:17.325219,4,Loved this resource.
S0008,R0036,2023-09-29T08:38:57.700556,4,Excellent explanation!
S0008,R0110,2023-09-29T05:37:39.217844,4,Perfect for my mixed style.
S0008,R0009,2023-09-24T06:08:40.712825,5,Well presented.
S0008,R0134,2023-09-25T07:28:57.480261,5,Perfect for my mixed style.
S0008,R0094,2023-09-22T05:43:20.634549,3,Decent overview.
S0008,R0027,2023-09-26T10:00:59.671108,4,Well presented.
S0008,R0016,2023-09-29T01:17:57.541244,5,Loved this resource.
S0008,R0129,2023-09-25T22:39:28.279590,4,"Really helpful, thanks."
S0008,R0010,2023-09-08T16:03:47.413920,3,It was okay.
S0008,R0106,2023-09-28T06:26:35.364043,4,Perfect for my mixed style.
S0009,R0123,2023-09-10T12:17:32.539722,3,Helped a little.
S0009,R0102,2023-09-27T08:56:01.666845,4,Loved this resource.
