studentId,topicId,timestamp,interactionType
S0005,GEO027,2024-12-02T17:31:24.747729,initial_post
S0007,CHM012,2024-12-24T22:04:09.068191,initial_reply
S0011,LIT032,2025-01-23T15:54:25.675047,initial_post
S0013,HIS023,2024-09-11T04:44:16.911760,initial_reply
S0018,PHY004,2024-10-01T07:13:56.136409,initial_reply
S0018,HIS024,2024-12-09T06:04:08.950936,initial_reply
S0020,PHY003,2024-10-16T02:59:55.451586,initial_post
S0021,CHM015,2024-12-03T11:53:44.926863,initial_post
S0029,CHM012,2024-11-11T18:11:26.609059,initial_reply
S0031,GEO030,2024-10-09T02:39:46.654168,initial_reply
S0035,BIO009,2024-10-01T02:40:38.087223,initial_reply
S0040,HIS022,2024-10-10T12:05:06.111010,initial_reply
S0041,BIO010,2025-01-20T02:09:43.299370,initial_reply
S0041,BIO007,2024-11-22T21:56:02.449853,initial_post
S0042,CHM012,2024-09-25T18:53:56.589232,initial_post
S0043,GEO026,2024-12-21T04:02:21.420437,initial_reply
S0045,MAT018,2024-10-08T22:51:36.897196,initial_reply
S0045,MAT016,2024-10-13T03:30:10.010248,initial_reply
S0045,MAT020,2024-11-10T09:59:05.170817,initial_post
S0048,LIT032,2024-09-12T01:27:03.087627,initial_post
S0048,GEO027,2024-12-11T16:02:04.581440,initial_post
S0054,HIS025,2024-12-18T15:38:21.888250,initial_reply
S0055,CHM014,2024-11-18T22:18:21.265539,initial_reply
S0063,LIT033,2024-09-19T07:21:52.779317,initial_post
S0071,PHY004,2024-09-07T08:11:02.289597,initial_reply
S0073,LIT034,2025-01-20T14:35:07.875063,initial_post
S0073,LIT034,2024-10-04T07:53:57.731087,initial_post
S0074,CHM015,2024-09-11T15:05:11.694147,initial_reply
S0079,PHY002,2024-11-28T00:48:35.692614,initial_post
S0080,LIT031,2025-01-18T06:18:24.837261,initial_reply
S0086,HIS024,2024-09-26T19:17:13.817393,initial_reply
S0087,PHY005,2024-11-15T03:24:08.817194,initial_reply
S0088,MAT019,2024-09-23T09:16:49.272540,initial_reply
S0089,HIS024,2024-12-04T10:40:11.029512,initial_post
S0090,MAT017,2024-10-23T19:07:54.339838,initial_post
S0091,PHY005,2024-11-27T04:29:20.598892,initial_reply
S0096,BIO008,2025-01-27T22:47:31.394868,initial_reply
S0100,GEO029,2025-01-19T00:15:15.963903,initial_reply
S0100,GEO029,2024-09-15T18:03:37.095625,initial_post
S0102,PHY005,2024-11-15T03:40:11.255142,initial_post
S0104,LIT031,2024-09-09T11:08:28.816764,initial_post
S0105,BIO007,2024-12-05T12:45:54.403274,initial_reply
S0111,MAT016,2024-11-04T07:28:11.154039,initial_reply
S0116,GEO029,2025-01-03T18:19:25.890341,initial_reply
S0116,MAT018,2024-09-01T08:52:00.300173,initial_reply
S0117,PHY004,2024-12-25T11:20:21.557288,initial_reply
S0118,LIT032,2025-01-02T00:00:59.647978,initial_post
S0123,LIT034,2024-09-27T16:58:25.978955,initial_reply
S0125,GEO029,2024-12-09T07:45:01.650547,initial_reply
S0125,GEO027,2024-11-10T22:11:32.791706,initial_post
S0125,MAT020,2025-01-29T10:19:44.978658,initial_reply
S0129,PHY001,2025-01-24T01:45:02.284602,initial_reply
S0131,CHM015,2024-11-19T09:38:08.973597,initial_reply
S0132,GEO028,2024-09-21T02:44:04.877335,initial_reply
S0132,CHM013,2024-11-16T04:27:36.719550,initial_reply
S0136,MAT017,2024-10-22T14:28:59.977074,initial_reply
S0147,CHM015,2025-01-14T00:46:21.404880,initial_reply
S0151,BIO010,2024-12-21T14:47:56.381409,initial_post
S0152,GEO026,2025-01-04T15:28:18.931505,initial_reply
S0153,HIS024,2024-11-14T10:02:40.057227,initial_post
S0154,HIS023,2024-09-30T09:15:35.631242,initial_post
S0159,BIO010,2024-12-03T00:29:07.800577,initial_post
S0162,CHM012,2024-10-01T05:54:39.985255,initial_post
S0165,LIT035,2024-10-01T01:10:17.094643,initial_reply
S0167,HIS024,2024-10-08T20:11:42.635755,initial_post
S0168,BIO010,2024-10-27T23:40:53.059424,initial_post
S0169,GEO028,2024-12-08T18:04:11.138289,initial_post
S0170,MAT020,2025-01-12T16:54:26.003396,initial_reply
S0171,HIS021,2025-01-18T10:26:04.998271,initial_reply
S0174,PHY004,2024-11-15T14:32:09.983895,initial_reply
S0175,PHY001,2024-12-26T10:00:11.521228,initial_reply
S0176,MAT017,2024-09-26T10:16:36.693168,initial_reply
S0178,CHM015,2025-01-10T10:50:32.765436,initial_reply
S0181,MAT016,2025-01-07T16:57:35.926034,initial_reply
S0184,PHY001,2024-09-18T14:39:30.766661,initial_post
S0189,HIS022,2024-11-04T04:07:24.846999,initial_reply
S0190,HIS023,2024-12-05T07:23:00.484204,initial_reply
S0190,HIS024,2024-11-09T12:19:20.809386,initial_reply
S0193,HIS025,2024-11-12T12:13:10.132884,initial_reply
S0196,PHY003,2024-11-25T11:49:02.497989,initial_post
S0197,BIO009,2024-09-23T08:51:26.864179,initial_reply
S0200,MAT018,2024-09-07T17:21:42.018194,initial_reply
S0200,HIS021,2024-10-04T20:54:33.799154,initial_post
S0205,PHY004,2025-01-04T17:37:57.583816,initial_reply
S0206,BIO010,2025-01-16T08:42:20.669066,initial_post
S0206,PHY004,2024-09-15T01:47:47.144625,initial_reply
S0211,LIT034,2025-01-14T08:55:12.113093,initial_post
S0213,HIS025,2024-09-04T23:07:06.474126,initial_reply
S0214,CHM015,2024-12-16T20:15:18.402375,initial_post
S0215,LIT032,2024-11-18T18:49:00.357897,initial_reply
S0215,HIS025,2024-09-04T11:29:25.247509,initial_post
S0217,LIT033,2024-12-13T22:22:18.150416,initial_reply
S0220,GEO029,2024-10-03T15:16:29.770976,initial_reply
S0224,GEO027,2025-01-26T18:34:55.465895,initial_post
S0226,CHM013,2024-10-24T04:34:26.424915,initial_post
S0229,BIO008,2024-12-01T04:08:14.496473,initial_post
S0229,BIO008,2024-11-16T09:02:07.891169,initial_reply
S0230,PHY001,2025-01-15T23:10:47.170835,initial_post
S0230,HIS023,2024-09-24T21:43:54.667839,initial_post
S0231,GEO029,2024-12-20T15:56:53.036107,initial_post
S0233,LIT031,2024-11-03T15:10:27.289548,initial_post
S0237,HIS021,2024-10-06T12:01:17.056077,initial_reply
S0237,HIS023,2025-01-05T06:50:33.169046,initial_reply
S0237,LIT031,2024-12-25T05:05:55.073094,initial_post
S0238,PHY001,2024-09-06T14:06:05.890549,initial_reply
S0241,CHM015,2024-12-19T15:57:55.354740,initial_reply
S0243,GEO030,2024-12-21T13:13:27.427974,initial_reply
S0244,LIT033,2024-11-18T04:03:49.583890,initial_reply
S0245,MAT017,2025-01-15T06:48:34.848162,initial_post
S0249,PHY004,2024-09-04T00:34:58.168960,initial_post
S0249,LIT032,2025-01-04T08:49:53.416798,initial_post
S0250,PHY004,2024-11-15T01:15:15.994245,initial_reply
