resourceId,title,type,modality
R0001,Simulation on PHY03: Force and Motion,Simulation,Kinaesthetic
R0002,Quiz on BIO01: Biology and Living Things,Quiz,Kinaesthetic
R0003,Article on PHY04: Energy,Article,Reading/Writing
R0004,Article on MAT04: Functions Intro,Article,Reading/Writing
R0005,Podcast on BIO04: Cell Division,Podcast,Audio
R0006,Video on CHM02: Atomic Structure,Video,Visual
R0007,Slideshow on PHY02: Matter and Properties,Slideshow,Visual
R0008,Video on BIO01: Biology and Living Things,Video,Visual
R0009,Quiz on CHM02: Atomic Structure,Quiz,Kinaesthetic
R0010,Video on CHM04: States of Matter,Video,Visual
R0011,Article on MAT02: Sets,Article,Reading/Writing
R0012,Article on BIO02: Cell Structure,Article,Reading/Writing
R0013,Article on PHY02: Matter and Properties,Article,Reading/Writing
R0014,Podcast on MAT03: Equations,Podcast,Audio
R0015,Quiz on BIO04: Cell Division,Quiz,Kinaesthetic
R0016,Podcast on CHM02: Atomic Structure,Podcast,Audio
R0017,Quiz on BIO05: Genetics Intro,Quiz,Kinaesthetic
R0018,Video on BIO05: Genetics Intro,Video,Visual
R0019,Podcast on BIO01: Biology and Living Things,Podcast,Audio
R0020,Article on BIO04: Cell Division,Article,Reading/Writing
R0021,Article on MAT05: Triangles,Article,Reading/Writing
R0022,Podcast on PHY04: Energy,Podcast,Audio
R0023,Podcast on CHM05: Reactions Intro,Podcast,Audio
R0024,Video on BIO03: Classification,Video,Visual
R0025,Simulation on MAT05: Triangles,Simulation,Kinaesthetic
R0026,Podcast on BIO03: Classification,Podcast,Audio
R0027,Podcast on PHY02: Matter and Properties,Podcast,Audio
R0028,Podcast on PHY05: Heat and Temperature,Podcast,Audio
R0029,Quiz on BIO01: Biology and Living Things,Quiz,Kinaesthetic
R0030,Video on PHY02: Matter and Properties,Video,Visual
R0031,Slideshow on PHY04: Energy,Slideshow,Visual
R0032,Podcast on PHY03: Force and Motion,Podcast,Audio
R0033,Quiz on MAT05: Triangles,Quiz,Kinaesthetic
